
m p n_1
19 151 6727
19 157 4409
19 163 951
19 167 1141
19 173 3079
19 179 989
19 181 3516
19 191 1350
19 193 3022
19 197 2262
19 199 3117
19 211 2376
19 223 12199
19 227 1692
19 229 4656
19 233 2072
19 239 5625
19 241 1122
19 251 1863
19 257 3858
19 263 2167
19 269 15277
19 271 8285
19 277 14289
19 281 8627
19 283 4979
19 293 4029
19 307 3402
19 311 2965
19 313 2471
19 317 1920
19 331 4998
19 337 7012
19 347 7829
19 349 11154
19 353 10584
19 359 14479
19 367 1559
19 373 8931
19 379 2053

m p n_1
20 23 681
20 29 861
20 31 301
20 37 1141
20 41 521
20 43 361
20 47 381
20 53 601
20 59 8001
20 61 441
20 67 1541
20 71 481
20 73 701
20 79 1381
20 83 741
20 89 7401
20 97 9301
20 101 1901
20 103 3221
20 107 1741
20 109 1241
20 113 4081
20 127 5421
20 131 9081
20 137 2081
20 139 8781
20 149 961
20 151 7081
20 157 4641
20 163 1001
20 167 1201
20 173 3241
20 179 1041
20 181 3701
20 191 1421
20 193 3181
20 197 2381
20 199 3281
20 211 2501
20 223 12841
20 227 1781
20 229 4901
20 233 2181
20 239 5921
20 241 1181
20 251 1961
20 257 4061
20 263 2281
20 269 16081
20 271 8721
20 277 15041
20 281 9081
20 283 5241
20 293 4241
20 307 3581
20 311 3121
20 313 2601
20 317 2021
20 331 5261
20 337 7381
20 347 8241
20 349 11741
20 353 11141
20 359 15241
20 367 1641
20 373 9401
20 379 2161
20 383 8301
20 389 3881
20 397 23701
20 401 19601
20 409 3761
20 419 13801
20 421 3061

m p n_1
21 23 715
21 29 904
21 31 316
21 37 1198
21 41 547
21 43 379
21 47 400
21 53 631
21 59 8401
21 61 463
21 67 1618
21 71 505
21 73 736
21 79 1450
21 83 778
21 89 7771
21 97 9766
21 101 1996
21 103 3382
21 107 1828
21 109 1303
21 113 4285
21 127 5692
21 131 9535
21 137 2185
21 139 9220
21 149 1009
21 151 7435
21 157 4873
21 163 1051
21 167 1261
21 173 3403
21 179 1093
21 181 3886
21 191 1492
21 193 3340
21 197 2500
21 199 3445
21 211 2626
21 223 13483
21 227 1870
21 229 5146
21 233 2290
21 239 6217
21 241 1240
21 251 2059
21 257 4264
21 263 2395
21 269 16885
21 271 9157
21 277 15793
21 281 9535
21 283 5503
21 293 4453
21 307 3760
21 311 3277
21 313 2731
21 317 2122
21 331 5524
21 337 7750
21 347 8653
21 349 12328
21 353 11698
21 359 16003
21 367 1723
21 373 9871
21 379 2269
21 383 8716
21 389 4075
