
m p n_1
32 709 4353
32 719 6657
32 727 11137
32 733 9505
32 739 81409
32 743 21569
32 751 51137
32 757 14081
32 761 15009
32 769 17185
32 773 3873
32 787 22433
32 797 14913
32 809 44001
32 811 14305
32 821 6177
32 823 6465
32 827 23841
32 829 21921
32 839 33633
32 853 50401
32 857 25857
32 859 16481
32 863 4033
32 877 16577
32 881 101729
32 883 16609
32 887 48545
32 907 2433
32 911 106753
32 919 3713
32 929 110561
32 937 32577
32 941 3745
32 947 4833
32 953 49409
32 967 11905
32 971 44225
32 977 127521
32 983 66305
32 991 113665
32 997 10113
32 1009 34817
32 1013 29825
32 1019 21569
32 1021 4289
32 1031 2561
32 1033 27457
32 1039 10241
32 1049 22689
32 1051 31297

m p n_1
33 37 1882
33 41 859
33 43 595
33 47 628
33 53 991
33 59 13201
33 61 727
33 67 2542
33 71 793
33 73 1156
33 79 2278
33 83 1222
33 89 12211
33 97 15346
33 101 3136
33 103 5314
33 107 2872
33 109 2047
33 113 6733
33 127 8944
33 131 14983
33 137 3433
33 139 14488
33 149 1585
33 151 11683
33 157 7657
33 163 1651
33 167 1981
33 173 5347
33 179 1717
33 181 6106
33 191 2344
33 193 5248
33 197 3928
33 199 5413
33 211 4126
33 223 21187
33 227 2938
33 229 8086
33 233 3598
33 239 9769
33 241 1948
33 251 3235
33 257 6700
33 263 3763
33 269 26533
33 271 14389
33 277 24817
33 281 14983
33 283 8647
33 293 6997
33 307 5908
33 311 5149
33 313 4291
33 317 3334
33 331 8680
33 337 12178
33 347 13597
33 349 19372
33 353 18382
33 359 25147
33 367 2707
33 373 15511
33 379 3565
33 383 13696
33 389 6403
33 397 39106
33 401 32341
33 409 6205
33 419 22771
33 421 5050
33 431 7624
33 433 17722
33 439 16204
33 443 4555
33 449 18184
33 457 9109
33 461 18745
33 463 1915
33 467 2971
33 479 16600
33 487 26929
33 491 10825
33 499 6073
33 503 5380
33 509 10495
33 521 6898
33 523 2014
33 541 31714
33 547 22969
33 557 15511
33 563 17293
33 569 13663
33 571 45805
33 577 9505
33 587 26104
33 593 30559
33 599 7690
33 601 36928
33 607 11221
33 613 29437
33 617 3301
33 619 6304
33 631 85966
33 641 30658
33 643 8416
33 647 4819
33 653 65110
33 659 38842
33 661 2212
33 673 15808
33 677 52372
33 683 28612
33 691 12805
33 701 7228
33 709 4489
33 719 6865
33 727 11485
33 733 9802
33 739 83953
33 743 22243
33 751 52735
33 757 14521
33 761 15478
33 769 17722
33 773 3994
33 787 23134
33 797 15379
33 809 45376
33 811 14752
33 821 6370
33 823 6667
33 827 24586
33 829 22606
33 839 34684
33 853 51976
33 857 26665
33 859 16996
33 863 4159
33 877 17095
33 881 104908
33 883 17128
33 887 50062
33 907 2509
33 911 110089
33 919 3829
33 929 114016
33 937 33595
33 941 3862
33 947 4984
33 953 50953
33 967 12277
33 971 45607
33 977 131506
33 983 68377
33 991 117217
33 997 10429
33 1009 35905
33 1013 30757
33 1019 22243
33 1021 4423
33 1031 2641
33 1033 28315
33 1039 10561
33 1049 23398
33 1051 32275
33 1061 5743
33 1063 124444
33 1069 8053
33 1087 13465
33 1091 80356
33 1093 220309
33 1097 68674
33 1103 45376
33 1109 3532
33 1117 99430
33 1123 26830

m p n_1
34 37 1939
34 41 885
34 43 613
34 47 647
34 53 1021
34 59 13601
34 61 749
34 67 2619
34 71 817
34 73 1191
34 79 2347
34 83 1259
34 89 12581
34 97 15811
34 101 3231
34 103 5475
34 107 2959
34 109 2109
34 113 6937
34 127 9215
34 131 15437
34 137 3537
34 139 14927
34 149 1633
34 151 12037
34 157 7889
34 163 1701
34 167 2041
34 173 5509
34 179 1769
34 181 6291
34 191 2415
34 193 5407
34 197 4047
34 199 5577
34 211 4251
34 223 21829
34 227 3027
34 229 8331
34 233 3707
34 239 10065
34 241 2007
34 251 3333
34 257 6903
34 263 3877
34 269 27337
34 271 14825
34 277 25569
34 281 15437
34 283 8909
34 293 7209
34 307 6087
34 311 5305
34 313 4421
34 317 3435
34 331 8943
34 337 12547
34 347 14009
34 349 19959
34 353 18939
34 359 25909
34 367 2789
34 373 15981
34 379 3673
34 383 14111
34 389 6597
34 397 40291
34 401 33321
34 409 6393
34 419 23461
34 421 5203
34 431 7855
34 433 18259
34 439 16695
34 443 4693
34 449 18735
34 457 9385
34 461 19313
34 463 1973
34 467 3061
34 479 17103
34 487 27745
34 491 11153
34 499 6257
34 503 5543
34 509 10813
34 521 7107
34 523 2075
34 541 32675
34 547 23665
34 557 15981
34 563 17817
34 569 14077
34 571 47193
34 577 9793
34 587 26895
34 593 31485
34 599 7923
34 601 38047
34 607 11561
34 613 30329
34 617 3401
34 619 6495
34 631 88571
34 641 31587
34 643 8671
34 647 4965
34 653 67083
34 659 40019
34 661 2279
34 673 16287
34 677 53959
34 683 29479
34 691 13193
34 701 7447
34 709 4625
34 719 7073
34 727 11833
34 733 10099
34 739 86497
34 743 22917
34 751 54333
34 757 14961
34 761 15947
34 769 18259
34 773 4115
34 787 23835
34 797 15845
34 809 46751
34 811 15199
34 821 6563
34 823 6869
34 827 25331
34 829 23291
34 839 35735
34 853 53551
34 857 27473
34 859 17511
34 863 4285
34 877 17613
34 881 108087
34 883 17647
34 887 51579
34 907 2585
34 911 113425
34 919 3945
34 929 117471
34 937 34613
34 941 3979
34 947 5135
34 953 52497
34 967 12649
34 971 46989
34 977 135491
34 983 70449
34 991 120769
34 997 10745
34 1009 36993
34 1013 31689
34 1019 22917
34 1021 4557
34 1031 2721
34 1033 29173
34 1039 10881
34 1049 24107
34 1051 33253
34 1061 5917
34 1063 128215
34 1069 8297
34 1087 13873
34 1091 82791
34 1093 226985
34 1097 70755
34 1103 46751
34 1109 3639
34 1117 102443
34 1123 27643
34 1129 54673
34 1151 32709
34 1153 24515
34 1163 23529
34 1171 2857
34 1181 7039
34 1187 27303

m p n_1
35 37 1996
35 41 911
35 43 631
35 47 666
35 53 1051
35 59 14001
35 61 771
35 67 2696
35 71 841
35 73 1226
35 79 2416
35 83 1296
35 89 12951
35 97 16276
35 101 3326
35 103 5636
35 107 3046
35 109 2171
35 113 7141
35 127 9486
35 131 15891
35 137 3641
35 139 15366
35 149 1681
35 151 12391
35 157 8121
35 163 1751
35 167 2101
35 173 5671
35 179 1821
35 181 6476
35 191 2486
35 193 5566
35 197 4166
35 199 5741
35 211 4376
35 223 22471
35 227 3116
35 229 8576
35 233 3816
35 239 10361
35 241 2066
35 251 3431
35 257 7106
35 263 3991
35 269 28141
35 271 15261
35 277 26321
35 281 15891
35 283 9171
35 293 7421
35 307 6266
35 311 5461
35 313 4551
35 317 3536
35 331 9206
35 337 12916
35 347 14421
35 349 20546
35 353 19496
35 359 26671
35 367 2871
35 373 16451
35 379 3781
35 383 14526
35 389 6791
35 397 41476
35 401 34301
35 409 6581
35 419 24151
35 421 5356
35 431 8086
35 433 18796
35 439 17186
35 443 4831
35 449 19286
35 457 9661
35 461 19881
35 463 2031
35 467 3151
35 479 17606
35 487 28561
35 491 11481
35 499 6441
35 503 5706
35 509 11131
35 521 7316
35 523 2136
35 541 33636
35 547 24361
35 557 16451
35 563 18341
35 569 14491
35 571 48581
35 577 10081
35 587 27686
35 593 32411
35 599 8156
35 601 39166
35 607 11901
35 613 31221
35 617 3501
35 619 6686
35 631 91176
35 641 32516
35 643 8926
35 647 5111
35 653 69056
35 659 41196
35 661 2346
35 673 16766
35 677 55546
35 683 30346
35 691 13581
35 701 7666
35 709 4761
35 719 7281
35 727 12181
35 733 10396
35 739 89041
35 743 23591
35 751 55931
35 757 15401
35 761 16416
35 769 18796
35 773 4236
35 787 24536
35 797 16311
35 809 48126
35 811 15646
35 821 6756
35 823 7071
35 827 26076
35 829 23976
35 839 36786
35 853 55126
35 857 28281
35 859 18026
35 863 4411
35 877 18131
35 881 111266
35 883 18166
35 887 53096
35 907 2661
35 911 116761
35 919 4061
35 929 120926
35 937 35631
35 941 4096
35 947 5286
35 953 54041
35 967 13021
35 971 48371
35 977 139476
35 983 72521
35 991 124321
35 997 11061
35 1009 38081
35 1013 32621
35 1019 23591
35 1021 4691
35 1031 2801
35 1033 30031
35 1039 11201
35 1049 24816
35 1051 34231
35 1061 6091
35 1063 131986
35 1069 8541
35 1087 14281
35 1091 85226
35 1093 233661
35 1097 72836
35 1103 48126
35 1109 3746
35 1117 105456
35 1123 28456
35 1129 56281
35 1151 33671
35 1153 25236
35 1163 24221
35 1171 2941
35 1181 7246
35 1187 28106
35 1193 3851
35 1201 30521
35 1213 87396
35 1217 28106
35 1223 19076
35 1229 10676
35 1231 109411
35 1237 54111
35 1249 22821
35 1259 6966

m p n_1
36 41 937
36 43 649
36 47 685
36 53 1081
36 59 14401
36 61 793
36 67 2773
36 71 865
36 73 1261
36 79 2485
36 83 1333
36 89 13321
36 97 16741
36 101 3421
36 103 5797
36 107 3133
36 109 2233
36 113 7345
36 127 9757
36 131 16345
36 137 3745
36 139 15805
36 149 1729
36 151 12745
36 157 8353
36 163 1801
36 167 2161
36 173 5833
36 179 1873
36 181 6661
36 191 2557
36 193 5725
36 197 4285
36 199 5905
36 211 4501
36 223 23113
36 227 3205
36 229 8821
36 233 3925
36 239 10657
36 241 2125
36 251 3529
36 257 7309
36 263 4105
36 269 28945
36 271 15697
36 277 27073
36 281 16345
36 283 9433
36 293 7633
36 307 6445
36 311 5617
36 313 4681
36 317 3637
36 331 9469
36 337 13285
36 347 14833
36 349 21133
36 353 20053
36 359 27433
36 367 2953
36 373 16921
36 379 3889
36 383 14941
36 389 6985
36 397 42661
36 401 35281
36 409 6769
36 419 24841
36 421 5509
36 431 8317
36 433 19333
36 439 17677
36 443 4969
36 449 19837
36 457 9937
36 461 20449
36 463 2089
36 467 3241
36 479 18109
36 487 29377
36 491 11809
36 499 6625
36 503 5869
36 509 11449
36 521 7525
36 523 2197
36 541 34597
36 547 25057
36 557 16921
36 563 18865
36 569 14905
36 571 49969
36 577 10369
36 587 28477
36 593 33337
36 599 8389
36 601 40285
36 607 12241
36 613 32113
36 617 3601
36 619 6877
36 631 93781
36 641 33445
36 643 9181
